customer,product,2004_qty_month1,2004_qty_month2,2004_qty_month3,2004_qty_month4,2004_qty_month5,2004_qty_month6,2004_qty_month7,2004_qty_month8,2004_qty_month9,2004_qty_month10,2004_qty_month11,2004_qty_month12,2004_qty_quarter1,2004_qty_quarter2,2004_qty_quarter3,2004_qty_quarter4,2004_Total_qty
T133820637,PRD1,0,0,0,0,30,0,0,0,0,30,0,0,0,30,0,30,60
T147810859,PRD2,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10
T172860382,PRD2,0,0,10,0,0,30,0,0,0,0,0,0,10,30,0,0,40
41206,PRD2,126,63,123,66,33,0,113,60,175,0,0,0,312,99,348,0,759
41206,PRD3,0,0,110,20,7,90,0,30,179,90,30,150,110,117,209,270,706
41206,PRD1,450,90,360,378,192,60,389,390,80,200,209,90,900,630,859,499,2888
30183075,PRD3,0,30,0,60,0,60,60,120,0,30,0,0,30,120,180,30,360
30183075,PRD1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,30
50678040,PRD2,30,0,0,0,0,30,60,0,0,0,0,0,30,30,60,0,120
50678040,PRD3,80,30,0,60,0,0,0,0,0,0,0,0,110,60,0,0,170
50678040,PRD1,0,0,140,0,0,0,0,0,0,0,0,0,140,0,0,0,140
51483171,PRD2,330,234,140,164,165,110,265,155,320,0,0,0,704,439,740,0,1883
51483171,PRD3,321,600,90,180,320,80,390,60,430,680,140,70,1011,580,880,890,3361
51483171,PRD1,330,700,620,1070,880,850,610,680,730,730,549,180,1650,2800,2020,1459,7929
100277061,PRD1,160,340,320,30,100,200,90,0,100,0,0,0,820,330,190,0,1340
110482032,PRD2,60,0,150,90,0,0,90,0,30,0,0,0,210,90,120,0,420
110482032,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190280073,PRD2,58,0,92,62,0,0,0,0,0,0,0,0,150,62,0,0,212
230170109,PRD2,30,0,60,60,60,60,0,60,0,0,0,0,90,180,60,0,330
230170109,PRD1,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,90,90
300664045,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360157013,PRD1,0,0,0,60,30,0,0,0,0,0,0,0,0,90,0,0,90
384164072,PRD2,40,34,40,47,90,128,160,87,20,0,0,0,114,265,267,0,646
384164072,PRD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384164072,PRD1,90,0,150,60,60,0,60,0,0,240,210,210,240,120,60,660,1080
410262012,PRD2,60,30,90,60,60,30,90,40,100,0,0,0,180,150,230,0,560
410262012,PRD3,60,30,60,0,120,0,30,70,60,30,60,30,150,120,160,120,550
410262012,PRD1,0,0,0,0,90,60,90,30,90,0,60,30,0,150,210,90,450
411384110,PRD2,368,330,360,270,210,360,270,390,150,0,0,0,1058,840,810,0,2708
411384110,PRD3,104,174,300,274,261,148,165,250,220,240,57,90,578,683,635,387,2283
411384110,PRD1,34,154,64,188,124,312,226,422,334,300,180,210,252,624,982,690,2548
470777006,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480483021,PRD2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30
480483021,PRD3,0,0,0,0,240,0,0,30,0,0,0,0,0,240,30,0,270
480483021,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560587013,PRD2,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5
